team_id,shortName,teamName,head_coach,won,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals,Total Goals,Goal Percentage in %,PPG Goal Percentage in %,Weighted Score
11,Atlanta,Thrashers,Bob Hartley,136,8247.0,4847.0,4638.0,1548.0,260.0,0.0,3076.0,2355.0,3865.0,849,926,1775,21.5229780526252,16.795865633074936,4526.3
9,Ottawa,Senators,Jacques Martin,181,9763.0,2606.0,4768.0,1464.0,288.0,0.0,1323.0,822.0,1168.0,871,944,1815,18.590597152514597,19.672131147540984,4196.700000000001
13,Florida,Panthers,Bob Boughner,188,13643.0,9257.0,3651.0,1325.0,335.0,20527.1,6012.0,3742.0,5724.0,1229,1453,2682,19.658432895990618,25.28301886792453,7412.199999999999
4,Philadelphia,Flyers,Alain Vigneault,204,10396.0,8172.0,2772.0,1112.0,204.0,18622.4,3484.0,2116.0,4412.0,920,1104,2024,19.469026548672566,18.345323741007196,5610.0
20,Calgary,Flames,Bill Peters,248,14696.0,7564.0,4188.0,1532.0,288.0,23629.2,6216.0,4524.0,5868.0,1288,1488,2776,18.889493739793142,18.79895561357702,7767.200000000001
26,Los Angeles,Kings,Darryl Sutter,267,15271.0,15689.0,5011.0,1578.0,289.0,25386.1,4715.0,2228.0,6080.0,1155,1290,2445,16.010739309802894,18.314321926489228,8181.800000000001
25,Dallas,Stars,Dave Tippett,271,13851.0,9354.0,7258.0,2285.0,399.0,0.0,5651.0,3729.0,5018.0,1232,1393,2625,18.95170023824995,17.461706783369806,7388.3
1,New Jersey,Devils,John Hynes,271,20206.0,15229.0,6375.0,2182.0,384.0,33077.4,5754.0,4836.0,9250.0,1829,2152,3981,19.702068692467584,17.598533455545372,11069.3
3,NY Rangers,Rangers,David Quinn,276,18546.0,14964.0,6673.0,1851.0,388.0,28891.6,7730.0,5007.0,9183.0,1846,2019,3865,20.840073331176534,20.961642355483523,10525.9
22,Edmonton,Oilers,Craig MacTavish,301,18263.0,6856.0,9936.0,3026.0,469.0,232.6,6417.0,3362.0,6174.0,1759,1933,3692,20.2157367354761,15.499008592200925,8931.099999999999
53,Arizona,Coyotes,Rick Tocchet,333,22346.0,16615.0,5094.0,2239.0,385.0,35120.7,6424.0,4905.0,10882.0,1824,2132,3956,17.703392105969748,17.19517641804377,12016.9
54,Vegas,Golden Knights,Gerard Gallant,344,22220.0,18303.0,5297.0,1901.0,373.0,32628.7,5901.0,6991.0,9223.0,1804,2108,3912,17.605760576057605,19.621251972645975,12381.599999999999
30,Minnesota,Wild,Bruce Boudreau,352,22333.0,12993.0,5979.0,2175.0,458.0,36101.5,4705.0,4869.0,10636.0,2000,2239,4239,18.98088031164644,21.057471264367816,11732.2
10,Toronto,Maple Leafs,Mike Babcock,355,23076.0,14739.0,5104.0,1964.0,409.0,36818.7,8089.0,5938.0,9467.0,2152,2300,4452,19.292771710868433,20.824847250509166,12311.800000000003
23,Vancouver,Canucks,Travis Green,355,22613.0,16473.0,7028.0,2471.0,505.0,38962.8,6419.0,5051.0,11880.0,2135,2415,4550,20.121169238933355,20.437070012140836,12449.4
15,Washington,Capitals,Todd Reirden,376,20348.0,16660.0,6376.0,2016.0,408.0,30963.6,7548.0,5264.0,9660.0,2068,2172,4240,20.8374287399253,20.238095238095237,11485.2
12,Carolina,Hurricanes,Rod Brind'Amour,381,22965.0,16120.0,5593.0,2115.0,393.0,34169.2,7482.0,6872.0,8605.0,1902,2103,4005,17.439581972566952,18.581560283687942,12338.4
19,St Louis,Blues,Craig Berube,392,21152.0,15320.0,5132.0,1940.0,408.0,34549.2,5608.0,5576.0,8716.0,1940,1948,3888,18.38124054462935,21.030927835051546,11419.6
